IP;Port;Nom de domaine;SNI;Cle Publique;Date Expiration;Certificat;SHA-256
52.33.174.51;443/tcp;*.godigital.mtn.ci;*.godigital.mtn.ci;rsa (2048 bits);2026-09-20;VALIDE ✅;N/A21cd8fbb6006823154cd958eab49990f83c7084a70a63b20353343096f2f5fff
196.47.188.131;443/tcp;4gmap.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.188.135;443/tcp;accessbillmanager.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.178.72;443/tcp;admin.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.188.131;443/tcp;adminannuaire.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.188.131;443/tcp;afdbportal.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.184.92;443/tcp;agility.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
141.95.155.207;443/tcp;app.businesscard.mtn.ci;app.businesscard.mtn.ci;rsa (256 bits);2026-09-10;VALIDE ✅;N/Af776b13cb3c60460fab48831b6522c1ace62236d0a321381b853a39205a31b00
105.235.121.171;443/tcp;app.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
144.76.136.81;443/tcp;appstore.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
104.18.40.69;443/tcp;auth.mtn.ci;auth.mtn.ci;rsa (256 bits);2026-09-14;VALIDE ✅;N/A3d5cfa515d4072773f1a185939474732487e8f72760ed121de33b95354bb6334
196.47.178.65;443/tcp;autodiscover.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.178.95;443/tcp;av.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.184.44;443/tcp;axdas.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.188.200;443/tcp;billmap.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.188.200;443/tcp;billmaptest.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
105.235.5.12;443/tcp;booster.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.178.240;443/tcp;bulk4scb.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.188.200;443/tcp;bulkpayment.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
141.95.155.207;443/tcp;businesscard.mtn.ci;businesscard.mtn.ci;rsa (256 bits);2026-09-10;VALIDE ✅;N/Ab81bd027f21454777ce659f4c80ca87cc92efc4ec4a04c9d4b444755262a604f
196.47.188.131;443/tcp;businessdocs.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.188.134;443/tcp;byobapp.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.188.200;443/tcp;cartracking.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.184.94;443/tcp;cbs.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.188.134;443/tcp;cbs33.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.188.181;443/tcp;certda.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.188.131;443/tcp;clfgroup.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
164.160.32.24;443/tcp;cloud.mtn.ci;cloud.mtn.ci;rsa (2048 bits);2026-09-22;VALIDE ✅;N/A0e5328e8732fe895dc22998789dbd8ea88201062de189b298338086a777343fd
196.47.188.135;443/tcp;consultationciesodecitest.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.178.72;443/tcp;cp.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.188.200;443/tcp;crisis.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.178.79;443/tcp;dialin.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
105.235.66.138;443/tcp;digitalkyc.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.178.107;443/tcp;dmc-backoffice.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
105.235.5.12;443/tcp;ebu-sponsoredata.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.188.200;443/tcp;engineroom.mtn.ci;*.mtn.ci/organizationName=MOBILE;rsa (2048 bits);2026-11-26;VALIDE ✅;N/A1c743c3853effb4e98c3b6df6fe0607e7db49f849a76dfa6a67d35155b308554
196.47.188.134;443/tcp;ersapp.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.178.66;443/tcp;ersweb.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.188.200;443/tcp;esim.mtn.ci;*.mtn.ci/organizationName=MOBILE;rsa (2048 bits);2026-11-26;VALIDE ✅;N/A1c743c3853effb4e98c3b6df6fe0607e7db49f849a76dfa6a67d35155b308554
196.47.178.180;443/tcp;evaluations.mtn.ci;*.apps.clus-seamfix.mtn.ci;rsa (2048 bits);2028-04-21;VALIDE ✅;N/A3489a6c5f6d5c80b42db9bca22bf9ab04bbb80a87c035f164d4b0006ab760109
196.47.188.134;443/tcp;evdapptest.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
196.47.188.134;443/tcp;evdsapp.mtn.ci;N/A;rsa (2048 bits);N/A;N/A;N/A
